lab_subject_id,lab_trial_id,trial_num,condition,experiment_num,aoi_region_id,dataset_id,distractor_image,distractor_label,full_phrase,point_of_disambiguation,target_image,target_label,target_side,distractor_id,target_id,trial_id
lmu_adult02,FAM_RR1_1280x960.avi,4,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,38
lmu_adult02,FAM_RR2_1280x960.avi,3,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,39
lmu_adult03,FAM_LL1_1280x960.avi,8,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,40
lmu_adult03,FAM_LL2_1280x960.avi,4,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,41
lmu_adult03,FAM_LR1_1280x960.avi,2,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,42
lmu_adult03,FAM_LR2_1280x960.avi,7,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,43
lmu_adult03,FAM_RL1_1280x960.avi,1,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,44
lmu_adult03,FAM_RL2_1280x960.avi,3,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,45
lmu_adult03,FAM_RR1_1280x960.avi,5,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,46
lmu_adult03,FAM_RR2_1280x960.avi,6,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,47
lmu_adult04,FAM_LL1_1280x960.avi,8,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,48
lmu_adult04,FAM_LL2_1280x960.avi,4,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,49
lmu_adult04,FAM_LR1_1280x960.avi,2,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,50
lmu_adult04,FAM_LR2_1280x960.avi,7,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,51
lmu_adult04,FAM_RL1_1280x960.avi,1,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,52
lmu_adult04,FAM_RL2_1280x960.avi,3,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,53
lmu_adult04,FAM_RR1_1280x960.avi,5,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,54
lmu_adult04,FAM_RR2_1280x960.avi,6,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,55
lmu_adult05,FAM_LL1_1280x960.avi,1,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,56
lmu_adult05,FAM_LL2_1280x960.avi,5,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,57
lmu_adult05,FAM_LR1_1280x960.avi,7,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,58
lmu_adult05,FAM_LR2_1280x960.avi,2,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,59
lmu_adult05,FAM_RL1_1280x960.avi,8,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,60
lmu_adult05,FAM_RL2_1280x960.avi,6,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,61
lmu_adult05,FAM_RR1_1280x960.avi,4,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,62
lmu_adult05,FAM_RR2_1280x960.avi,3,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,63
