lab_subject_id,lab_trial_id,trial_num,condition,experiment_num,aoi_region_id,dataset_id,distractor_image,distractor_label,distractor_id,full_phrase,point_of_disambiguation,target_image,target_label,target_id,target_side,trial_id
mb2p_a01,FAM_LL_1280x960X.xvd_2,1,LL,pilot_1a_adult,0,10,distractor,distractor,distractor,NA,31130,target,target,target,left,0
mb2p_a01,FAM_LL_1280x960X.xvd_6,5,LL,pilot_1a_adult,0,10,distractor,distractor,distractor,NA,31130,target,target,target,left,1
mb2p_a01,FAM_LR_1280x960X.xvd_3,2,LR,pilot_1a_adult,0,10,distractor,distractor,distractor,NA,31130,target,target,target,right,2
mb2p_a01,FAM_LR_1280x960X.xvd_8,7,LR,pilot_1a_adult,0,10,distractor,distractor,distractor,NA,31130,target,target,target,right,3
mb2p_a01,FAM_RL_1280x960X.xvd_7,6,RL,pilot_1a_adult,0,10,distractor,distractor,distractor,NA,31130,target,target,target,left,4
mb2p_a01,FAM_RL_1280x960X.xvd_9,8,RL,pilot_1a_adult,0,10,distractor,distractor,distractor,NA,31130,target,target,target,left,5
mb2p_a01,FAM_RR_1280x960X.xvd_4,3,RR,pilot_1a_adult,0,10,distractor,distractor,distractor,NA,31130,target,target,target,right,6
mb2p_a01,FAM_RR_1280x960X.xvd_5,4,RR,pilot_1a_adult,0,10,distractor,distractor,distractor,NA,31130,target,target,target,right,7
mb2p_a02,FAM_LL_1280x960X.xvd_5,4,LL,pilot_1a_adult,0,10,distractor,distractor,distractor,NA,31130,target,target,target,left,8
mb2p_a02,FAM_LL_1280x960X.xvd_9,8,LL,pilot_1a_adult,0,10,distractor,distractor,distractor,NA,31130,target,target,target,left,9
mb2p_a02,FAM_LR_1280x960X.xvd_3,2,LR,pilot_1a_adult,0,10,distractor,distractor,distractor,NA,31130,target,target,target,right,10
mb2p_a02,FAM_LR_1280x960X.xvd_8,7,LR,pilot_1a_adult,0,10,distractor,distractor,distractor,NA,31130,target,target,target,right,11
mb2p_a02,FAM_RL_1280x960X.xvd_2,1,RL,pilot_1a_adult,0,10,distractor,distractor,distractor,NA,31130,target,target,target,left,12
mb2p_a02,FAM_RL_1280x960X.xvd_4,3,RL,pilot_1a_adult,0,10,distractor,distractor,distractor,NA,31130,target,target,target,left,13
mb2p_a02,FAM_RR_1280x960X.xvd_6,5,RR,pilot_1a_adult,0,10,distractor,distractor,distractor,NA,31130,target,target,target,right,14
mb2p_a02,FAM_RR_1280x960X.xvd_7,6,RR,pilot_1a_adult,0,10,distractor,distractor,distractor,NA,31130,target,target,target,right,15
mb2p_a03,FAM_LL_1280x960X.xvd_2,1,LL,pilot_1a_adult,0,10,distractor,distractor,distractor,NA,31130,target,target,target,left,16
mb2p_a03,FAM_LL_1280x960X.xvd_6,5,LL,pilot_1a_adult,0,10,distractor,distractor,distractor,NA,31130,target,target,target,left,17
mb2p_a03,FAM_LR_1280x960X.xvd_3,2,LR,pilot_1a_adult,0,10,distractor,distractor,distractor,NA,31130,target,target,target,right,18
mb2p_a03,FAM_LR_1280x960X.xvd_8,7,LR,pilot_1a_adult,0,10,distractor,distractor,distractor,NA,31130,target,target,target,right,19
mb2p_a03,FAM_RL_1280x960X.xvd_7,6,RL,pilot_1a_adult,0,10,distractor,distractor,distractor,NA,31130,target,target,target,left,20
mb2p_a03,FAM_RL_1280x960X.xvd_9,8,RL,pilot_1a_adult,0,10,distractor,distractor,distractor,NA,31130,target,target,target,left,21
mb2p_a03,FAM_RR_1280x960X.xvd_4,3,RR,pilot_1a_adult,0,10,distractor,distractor,distractor,NA,31130,target,target,target,right,22
mb2p_a03,FAM_RR_1280x960X.xvd_5,4,RR,pilot_1a_adult,0,10,distractor,distractor,distractor,NA,31130,target,target,target,right,23
