lab_trial_id,lab_subject_id,trial_order,trial_id,trial_type_aux_data,trial_aux_data,excluded,exclusion_reason,trial_type_id
star_calib (1),GAUG_006,7,7,calib check,fam1,FALSE,NA,NA
star_calib (1),GAUG_006,7,7,calib check,fam2,FALSE,NA,NA
star_calib (1),GAUG_006,7,7,calib check,fam3,FALSE,NA,NA
star_calib (1),GAUG_006,7,7,calib check,fam4,FALSE,NA,NA
star_calib (1),GAUG_006,7,7,calib check,test1,FALSE,NA,NA
star_calib (1),GAUG_006,7,7,calib check,test2,FALSE,NA,NA
star_calib (1),GAUG_001P,0,8,calib check,fam1,FALSE,NA,NA
star_calib (1),GAUG_001P,0,8,calib check,fam2,FALSE,NA,NA
star_calib (1),GAUG_001P,0,8,calib check,fam3,FALSE,NA,NA
star_calib (1),GAUG_001P,0,8,calib check,fam4,FALSE,NA,NA
star_calib (1),GAUG_001P,0,8,calib check,test1,FALSE,NA,NA
star_calib (1),GAUG_001P,0,8,calib check,test2,FALSE,NA,NA
FAM_LR,GAUG_001P,1,9,fam1,fam1,FALSE,NA,33
FAM_LR,GAUG_001P,1,9,fam1,fam2,FALSE,NA,33
FAM_LR,GAUG_001P,1,9,fam1,fam3,FALSE,NA,33
FAM_LR,GAUG_001P,1,9,fam1,fam4,FALSE,NA,33
FAM_LR,GAUG_001P,1,9,fam1,test1,FALSE,NA,33
FAM_LR,GAUG_001P,1,9,fam1,test2,FALSE,NA,33
FAM_LL,GAUG_001P,2,10,fam2,fam1,FALSE,NA,32
FAM_LL,GAUG_001P,2,10,fam2,fam2,FALSE,NA,32
FAM_LL,GAUG_001P,2,10,fam2,fam3,FALSE,NA,32
FAM_LL,GAUG_001P,2,10,fam2,fam4,FALSE,NA,32
FAM_LL,GAUG_001P,2,10,fam2,test1,FALSE,NA,32
FAM_LL,GAUG_001P,2,10,fam2,test2,FALSE,NA,32
FAM_RL,GAUG_001P,3,11,fam3,fam1,FALSE,NA,34
FAM_RL,GAUG_001P,3,11,fam3,fam2,FALSE,NA,34
FAM_RL,GAUG_001P,3,11,fam3,fam3,FALSE,NA,34
FAM_RL,GAUG_001P,3,11,fam3,fam4,FALSE,NA,34
FAM_RL,GAUG_001P,3,11,fam3,test1,FALSE,NA,34
FAM_RL,GAUG_001P,3,11,fam3,test2,FALSE,NA,34
FAM_RR,GAUG_001P,4,12,fam4,fam1,FALSE,NA,35
FAM_RR,GAUG_001P,4,12,fam4,fam2,FALSE,NA,35
FAM_RR,GAUG_001P,4,12,fam4,fam3,FALSE,NA,35
FAM_RR,GAUG_001P,4,12,fam4,fam4,FALSE,NA,35
FAM_RR,GAUG_001P,4,12,fam4,test1,FALSE,NA,35
FAM_RR,GAUG_001P,4,12,fam4,test2,FALSE,NA,35
IG_RR,GAUG_001P,5,13,test1,fam1,FALSE,NA,3
IG_RR,GAUG_001P,5,13,test1,fam2,FALSE,NA,3
IG_RR,GAUG_001P,5,13,test1,fam3,FALSE,NA,3
IG_RR,GAUG_001P,5,13,test1,fam4,FALSE,NA,3
IG_RR,GAUG_001P,5,13,test1,test1,FALSE,NA,3
IG_RR,GAUG_001P,5,13,test1,test2,FALSE,NA,3
KNOW_RR_ExitRight_INC,GAUG_001P,6,14,test2,fam1,FALSE,NA,30
KNOW_RR_ExitRight_INC,GAUG_001P,6,14,test2,fam2,FALSE,NA,30
KNOW_RR_ExitRight_INC,GAUG_001P,6,14,test2,fam3,FALSE,NA,30
KNOW_RR_ExitRight_INC,GAUG_001P,6,14,test2,fam4,FALSE,NA,30
KNOW_RR_ExitRight_INC,GAUG_001P,6,14,test2,test1,FALSE,NA,30
KNOW_RR_ExitRight_INC,GAUG_001P,6,14,test2,test2,FALSE,NA,30
star_calib (1),GAUG_001P,7,15,calib check,fam1,FALSE,NA,NA
star_calib (1),GAUG_001P,7,15,calib check,fam2,FALSE,NA,NA
star_calib (1),GAUG_001P,7,15,calib check,fam3,FALSE,NA,NA
star_calib (1),GAUG_001P,7,15,calib check,fam4,FALSE,NA,NA
star_calib (1),GAUG_001P,7,15,calib check,test1,FALSE,NA,NA
star_calib (1),GAUG_001P,7,15,calib check,test2,FALSE,NA,NA
star_calib (1),GAUG_002,0,16,calib check,fam1,FALSE,NA,NA
star_calib (1),GAUG_002,0,16,calib check,fam2,FALSE,NA,NA
star_calib (1),GAUG_002,0,16,calib check,fam3,FALSE,NA,NA
star_calib (1),GAUG_002,0,16,calib check,fam4,FALSE,NA,NA
star_calib (1),GAUG_002,0,16,calib check,test1,FALSE,NA,NA
star_calib (1),GAUG_002,0,16,calib check,test2,FALSE,NA,NA
FAM_LR,GAUG_002,1,17,fam1,fam1,FALSE,NA,33
FAM_LR,GAUG_002,1,17,fam1,fam2,FALSE,NA,33
FAM_LR,GAUG_002,1,17,fam1,fam3,FALSE,NA,33
FAM_LR,GAUG_002,1,17,fam1,fam4,FALSE,NA,33
FAM_LR,GAUG_002,1,17,fam1,test1,FALSE,NA,33
FAM_LR,GAUG_002,1,17,fam1,test2,FALSE,NA,33
FAM_LL,GAUG_002,2,18,fam2,fam1,FALSE,NA,32
FAM_LL,GAUG_002,2,18,fam2,fam2,FALSE,NA,32
FAM_LL,GAUG_002,2,18,fam2,fam3,FALSE,NA,32
FAM_LL,GAUG_002,2,18,fam2,fam4,FALSE,NA,32
FAM_LL,GAUG_002,2,18,fam2,test1,FALSE,NA,32
FAM_LL,GAUG_002,2,18,fam2,test2,FALSE,NA,32
FAM_RL,GAUG_002,3,19,fam3,fam1,FALSE,NA,34
FAM_RL,GAUG_002,3,19,fam3,fam2,FALSE,NA,34
FAM_RL,GAUG_002,3,19,fam3,fam3,FALSE,NA,34
FAM_RL,GAUG_002,3,19,fam3,fam4,FALSE,NA,34
FAM_RL,GAUG_002,3,19,fam3,test1,FALSE,NA,34
FAM_RL,GAUG_002,3,19,fam3,test2,FALSE,NA,34
