subject_id,dataset_id,age,sex,lab_subject_id,error
0,0,582,male,MB2-1,FALSE
1,0,552,female,MB2-2,FALSE
2,0,448,male,MB2-3,TRUE
3,0,779,female,MB2-4,FALSE
4,0,415,female,MB2-5,TRUE
5,0,770,female,MB2-6,FALSE
6,0,776,male,MB2-7,FALSE
7,0,766,female,MB2-8,FALSE
8,0,751,male,MB2-9,FALSE
9,0,779,male,MB2-10,FALSE
10,0,595,male,MB2-11,FALSE
11,0,756,male,MB2-12,FALSE
12,0,779,male,MB2-13,FALSE
