participant_lab_id,lab_id,participant_id,age_cohort,participant_gender,age_years,age_years_n,age_days,age_days_num,age_mo,age_exclusion
babylabBrookes_OBB_014-adults,babylabBrookes,OBB_014-adults,adults,woman,18,18,NA,NA,NA,no
babylabBrookes_OBB_015-adults,babylabBrookes,OBB_015-adults,adults,man,19,19,NA,NA,NA,no
babylabBrookes_OBB_016-adults,babylabBrookes,OBB_016-adults,adults,woman,18,18,NA,NA,NA,no
babylabBrookes_OBB_017-adults,babylabBrookes,OBB_017-adults,adults,man,23,23,NA,NA,NA,no
babylabBrookes_OBB_018-adults,babylabBrookes,OBB_018-adults,adults,man,19,19,NA,NA,NA,no
babylabBrookes_OBB_019-adults,babylabBrookes,OBB_019-adults,adults,woman,23,23,NA,NA,NA,no
babylabBrookes_OBB_020-adults,babylabBrookes,OBB_020-adults,adults,man,19,19,NA,NA,NA,no
babylabBrookes_OBB_021-adults,babylabBrookes,OBB_021-adults,adults,woman,18,18,NA,NA,NA,no
babylabBrookes_OBB_022-adults,babylabBrookes,OBB_022-adults,adults,woman,20,20,NA,NA,NA,no
babylabBrookes_OBB_023-adults,babylabBrookes,OBB_023-adults,adults,other,19,19,NA,NA,NA,no
babylabBrookes_OBB_024-adults,babylabBrookes,OBB_024-adults,adults,woman,19,19,NA,NA,NA,no
babylabBrookes_OBB_025-adults,babylabBrookes,OBB_025-adults,adults,other,20,20,NA,NA,NA,no
babylabBrookes_OBB_026-adults,babylabBrookes,OBB_026-adults,adults,woman,18,18,NA,NA,NA,no
babylabBrookes_OBB_027-adults,babylabBrookes,OBB_027-adults,adults,man,19,19,NA,NA,NA,no
babylabBrookes_OBB_028-adults,babylabBrookes,OBB_028-adults,adults,man,18,18,NA,NA,NA,no
babylabBrookes_OBB_029-adults,babylabBrookes,OBB_029-adults,adults,woman,22,22,NA,NA,NA,no
babylabBrookes_OBB_030-adults,babylabBrookes,OBB_030-adults,adults,woman,19,19,NA,NA,NA,no
babylabBrookes_OBB_031-adults,babylabBrookes,OBB_031-adults,adults,woman,18,18,NA,NA,NA,no
babylabBrookes_OBB_032-adults,babylabBrookes,OBB_032-adults,adults,woman,19,19,NA,NA,NA,no
babylabBrookes_OBB_033-adults,babylabBrookes,OBB_033-adults,adults,woman,21,21,NA,NA,NA,no
babylabBrookes_OBB_034-adults,babylabBrookes,OBB_034-adults,adults,woman,19,19,NA,NA,NA,no
babylabBrookes_OBB_035-adults,babylabBrookes,OBB_035-adults,adults,woman,19,19,NA,NA,NA,no
babylabBrookes_OBB_036-adults,babylabBrookes,OBB_036-adults,adults,man,19,19,NA,NA,NA,no
babylabBrookes_OBB_037-adults,babylabBrookes,OBB_037-adults,adults,man,19,19,NA,NA,NA,no
babylabBrookes_OBB_038-adults,babylabBrookes,OBB_038-adults,adults,woman,19,19,NA,NA,NA,no
babylabBrookes_OBB_039-adults,babylabBrookes,OBB_039-adults,adults,man,19,19,NA,NA,NA,no
babylabBrookes_OBB_040-adults,babylabBrookes,OBB_040-adults,adults,woman,19,19,NA,NA,NA,no
babylabBrookes_OBB_041-adults,babylabBrookes,OBB_041-adults,adults,woman,19,19,NA,NA,NA,no
babylabBrookes_OBB_042-adults,babylabBrookes,OBB_042-adults,adults,woman,18,18,NA,NA,NA,no
babylabBrookes_OBB_043-adults,babylabBrookes,OBB_043-adults,adults,woman,18,18,NA,NA,NA,no
babylabBrookes_OBB_044-adults,babylabBrookes,OBB_044-adults,adults,woman,19,19,NA,NA,NA,no
babylabBrookes_OBB_045-adults,babylabBrookes,OBB_045-adults,adults,woman,19,19,NA,NA,NA,no
babylabBrookes_OBB_046-adults,babylabBrookes,OBB_046-adults,adults,woman,18,18,NA,NA,NA,no
babylabBrookes_OBB_047-adults,babylabBrookes,OBB_047-adults,adults,woman,18,18,NA,NA,NA,no
babylabBrookes_OBB_048-adults,babylabBrookes,OBB_048-adults,adults,woman,19,19,NA,NA,NA,no
babylabBrookes_OBB_049-adults,babylabBrookes,OBB_049-adults,adults,woman,19,19,NA,NA,NA,no
babylabBrookes_OBB_050-adults,babylabBrookes,OBB_050-adults,adults,man,19,19,NA,NA,NA,no
babylabBrookes_OBB_051-adults,babylabBrookes,OBB_051-adults,adults,woman,18,18,NA,NA,NA,no
babylabBrookes_OBB_052-adults,babylabBrookes,OBB_052-adults,adults,woman,20,20,NA,NA,NA,no
babylabBrookes_OBB_053-adults,babylabBrookes,OBB_053-adults,adults,woman,19,19,NA,NA,NA,no
babylabBrookes_OBB_054-adults,babylabBrookes,OBB_054-adults,adults,woman,20,20,NA,NA,NA,no
babylabBrookes_OBB_055-adults,babylabBrookes,OBB_055-adults,adults,woman,19,19,NA,NA,NA,no
babylabBrookes_OBB_056-adults,babylabBrookes,OBB_056-adults,adults,woman,19,19,NA,NA,NA,no
babylabBrookes_OBB_057-adults,babylabBrookes,OBB_057-adults,adults,woman,19,19,NA,NA,NA,no
babylabBrookes_OBB_058-adults,babylabBrookes,OBB_058-adults,adults,man,18,18,NA,NA,NA,no
babylabBrookes_OBB_059-adults,babylabBrookes,OBB_059-adults,adults,woman,20,20,NA,NA,NA,no
babylabBrookes_OBB_060-adults,babylabBrookes,OBB_060-adults,adults,man,19,19,NA,NA,NA,no
babylabBrookes_OBB_061-adults,babylabBrookes,OBB_061-adults,adults,man,18,18,NA,NA,NA,no
