participant_lab_id,lab_id,participant_id,age_cohort,participant_gender,age_years,age_years_n,age_days,age_days_num,age_mo,age_exclusion
babylabNijmegen_RU_017-toddlers,babylabNijmegen,RU_017-toddlers,toddlers,boy,NA,NA,696,696,22.86652977412731,no
babylabNijmegen_RU_018-toddlers,babylabNijmegen,RU_018-toddlers,toddlers,boy,NA,NA,747,747,24.542094455852155,no
babylabNijmegen_RU_019-toddlers,babylabNijmegen,RU_019-toddlers,toddlers,boy,NA,NA,747,747,24.542094455852155,no
babylabNijmegen_RU_020-toddlers,babylabNijmegen,RU_020-toddlers,toddlers,boy,NA,NA,688,688,22.60369609856263,no
babylabNijmegen_RU_021-toddlers,babylabNijmegen,RU_021-toddlers,toddlers,girl,NA,NA,699,699,22.965092402464066,no
babylabNijmegen_RU_022-toddlers,babylabNijmegen,RU_022-toddlers,toddlers,boy,NA,NA,740,740,24.31211498973306,no
babylabNijmegen_RU_023-toddlers,babylabNijmegen,RU_023-toddlers,toddlers,boy,NA,NA,760,760,24.969199178644764,no
babylabPrinceton_s02-toddlers,babylabPrinceton,s02-toddlers,toddlers,girl,NA,NA,637,637,20.928131416837783,no
babylabPrinceton_s03-toddlers,babylabPrinceton,s03-toddlers,toddlers,girl,NA,NA,788,788,25.889117043121146,no
babylabPrinceton_s04-toddlers,babylabPrinceton,s04-toddlers,toddlers,girl,NA,NA,736,736,24.180698151950715,no
babylabPrinceton_s05-toddlers,babylabPrinceton,s05-toddlers,toddlers,girl,NA,NA,731,731,24.016427104722794,no
babylabPrinceton_s06-toddlers,babylabPrinceton,s06-toddlers,toddlers,boy,NA,NA,574,574,18.85831622176591,no
babylabPrinceton_s09-toddlers,babylabPrinceton,s09-toddlers,toddlers,girl,NA,NA,654,654,21.48665297741273,no
babylabPrinceton_s10-toddlers,babylabPrinceton,s10-toddlers,toddlers,boy,NA,NA,585,585,19.21971252566735,no
babylabPrinceton_s11-toddlers,babylabPrinceton,s11-toddlers,toddlers,girl,NA,NA,680,680,22.340862422997944,no
babylabPrinceton_s12-toddlers,babylabPrinceton,s12-toddlers,toddlers,boy,NA,NA,780,780,25.626283367556468,no
babylabPrinceton_s13-toddlers,babylabPrinceton,s13-toddlers,toddlers,boy,NA,NA,611,611,20.073921971252567,no
babylabPrinceton_s14-toddlers,babylabPrinceton,s14-toddlers,toddlers,girl,NA,NA,736,736,24.180698151950715,no
babylabPrinceton_s15-toddlers,babylabPrinceton,s15-toddlers,toddlers,girl,NA,NA,571,571,18.75975359342916,no
babylabPrinceton_s16-toddlers,babylabPrinceton,s16-toddlers,toddlers,girl,NA,NA,686,686,22.537987679671456,no
babylabPrinceton_s18-toddlers,babylabPrinceton,s18-toddlers,toddlers,girl,NA,NA,793,793,26.053388090349078,no
babylabPrinceton_s19-toddlers,babylabPrinceton,s19-toddlers,toddlers,boy,NA,NA,690,690,22.6694045174538,no
babylabPrinceton_s20-toddlers,babylabPrinceton,s20-toddlers,toddlers,boy,NA,NA,669,669,21.97946611909651,no
babylabTrento_BLT_201-adults,babylabTrento,BLT_201-adults,adults,woman,22,22,NA,NA,NA,no
