xy_data_id,subject_id,trial_id,x,y,t,point_of_disambiguation
274,0,3,916,309,-25397.678999999996,29960
275,0,3,920,306,-25380.93,29960
276,0,3,922,300,-25364.307999999997,29960
277,0,3,916,303,-25347.686,29960
278,0,3,915,308,-25331.063000000002,29960
279,0,3,920,300,-25314.315000000002,29960
280,0,3,918,306,-25297.691,29960
281,0,3,921,312,-25281.068,29960
282,0,3,917,294,-25264.444000000003,29960
283,0,3,916,298,-25247.697999999997,29960
284,0,3,920,300,-25231.074999999997,29960
285,0,3,922,307,-25214.449999999997,29960
286,0,3,917,289,-25197.828,29960
287,0,3,923,297,-25181.081,29960
288,0,3,915,292,-25164.46,29960
289,0,3,923,293,-25147.837999999996,29960
290,0,3,922,294,-25131.216999999997,29960
291,0,3,916,289,-25114.468999999997,29960
292,0,3,915,301,-25097.845,29960
293,0,3,923,296,-25081.222999999998,29960
294,0,3,924,291,-25064.6,29960
295,0,3,929,298,-25047.851000000002,29960
296,0,3,923,294,-25031.229999999996,29960
297,0,3,915,288,-25014.606999999996,29960
298,0,3,913,292,-24997.979999999996,29960
299,0,3,920,291,-24981.235,29960
300,0,3,916,295,-24964.610999999997,29960
301,0,3,922,290,-24947.987999999998,29960
302,0,3,913,297,-24931.364,29960
303,0,3,917,282,-24914.618000000002,29960
304,0,3,916,292,-24897.994,29960
305,0,3,906,297,-24881.372000000003,29960
306,0,3,912,294,-24864.746,29960
307,0,3,919,292,-24848.123999999996,29960
308,0,3,915,292,-24831.377999999997,29960
309,0,3,915,293,-24814.752999999997,29960
310,0,3,911,295,-24798.131,29960
311,0,3,910,297,-24781.508,29960
312,0,3,913,292,-24764.761,29960
313,0,3,915,285,-24748.137000000002,29960
314,0,3,918,287,-24731.513,29960
315,0,3,912,293,-24714.892,29960
316,0,3,912,298,-24698.144,29960
317,0,3,915,289,-24681.441,29960
318,0,3,908,291,-24664.896999999997,29960
319,0,3,912,282,-24648.273,29960
320,0,3,909,286,-24631.525,29960
321,0,3,913,289,-24614.79,29960
322,0,3,906,295,-24598.182,29960
323,0,3,911,291,-24581.657,29960
324,0,3,905,266,-24564.908000000003,29960
336,0,3,983,281,-24364.765999999996,29960
359,0,3,981,298,-23982.004,29960
360,0,3,989,299,-23965.506999999998,29960
361,0,3,983,295,-23948.759,29960
362,0,3,989,289,-23932.119,29960
363,0,3,987,295,-23915.513,29960
364,0,3,970,290,-23898.888,29960
365,0,3,970,286,-23882.125999999997,29960
366,0,3,976,282,-23865.519999999997,29960
367,0,3,970,279,-23848.896,29960
368,0,3,971,280,-23832.275,29960
369,0,3,974,277,-23815.525999999998,29960
370,0,3,970,280,-23798.903,29960
371,0,3,961,270,-23782.283000000003,29960
372,0,3,969,273,-23765.657,29960
373,0,3,963,276,-23749.036999999997,29960
374,0,3,969,279,-23732.286999999997,29960
375,0,3,966,272,-23715.665,29960
376,0,3,968,269,-23699.042999999998,29960
377,0,3,964,277,-23682.421000000002,29960
378,0,3,967,269,-23665.673000000003,29960
379,0,3,970,281,-23649.051,29960
380,0,3,957,271,-23632.426999999996,29960
381,0,3,963,272,-23615.805999999997,29960
382,0,3,963,267,-23599.055999999997,29960
383,0,3,966,264,-23582.432999999997,29960
384,0,3,962,266,-23565.809999999998,29960
385,0,3,964,268,-23549.171000000002,29960
386,0,3,961,271,-23532.438000000002,29960
387,0,3,954,265,-23515.811999999998,29960
388,0,3,966,270,-23499.165999999997,29960
389,0,3,963,269,-23482.567000000003,29960
390,0,3,967,254,-23465.817000000003,29960
391,0,3,973,258,-23449.161999999997,29960
392,0,3,966,279,-23432.570999999996,29960
393,0,3,967,274,-23415.951999999997,29960
394,0,3,963,274,-23399.193,29960
395,0,3,970,273,-23382.582000000002,29960
396,0,3,956,275,-23365.957000000002,29960
397,0,3,966,267,-23349.337,29960
398,0,3,963,269,-23332.587999999996,29960
399,0,3,967,269,-23315.966999999997,29960
400,0,3,967,265,-23299.341,29960
401,0,3,967,262,-23282.722,29960
402,0,3,964,268,-23265.975,29960
403,0,3,967,262,-23249.35,29960
404,0,3,963,261,-23232.729,29960
405,0,3,959,274,-23216.106,29960
406,0,3,957,268,-23199.356999999996,29960
407,0,3,961,258,-23182.735,29960
408,0,3,961,265,-23166.114,29960
409,0,3,959,266,-23149.489999999998,29960
410,0,3,963,263,-23132.744,29960
411,0,3,956,259,-23116.121,29960
412,0,3,951,263,-23099.497000000003,29960
413,0,3,957,256,-23082.873,29960
414,0,3,954,262,-23066.252,29960
415,0,3,954,265,-23049.502999999997,29960
416,0,3,952,253,-23032.879,29960
417,0,3,948,252,-23016.259,29960
418,0,3,950,259,-22999.634,29960
419,0,3,946,262,-22982.887000000002,29960
420,0,3,940,262,-22966.261,29960
421,0,3,946,263,-22949.644,29960
422,0,3,946,252,-22933.019999999997,29960
423,0,3,951,260,-22916.265,29960
424,0,3,944,257,-22899.648,29960
425,0,3,944,267,-22883.025999999998,29960
