LabID,🏫 Institution,🌍 Country,Lab Name,PI(s),Additional Members,Lab website,📚 Projects (collecting data)
addisababa,Addis Ababa University,Ethiopia,,Mulat Asnake Goshu,,,MB1-Africa
affcogUTSC,University of Toronto Scarborough,Canada,Affective Cognition Lab,Yang Wu,Tiffany Doan,https://www.yangwulab.com/,"MB2,MB-AtHome"
agakhan,Aga Khan University Institute for Human Development,Kenya,,Amina Abubakar,,,MB1-Africa
babellabVienna,University of Vienna,Austria,Psycholinguistisches Labor Babelfisch,Jutta L. Mueller,"Ivonne Weyers,Priscila Borba Borges,Jakob Weickmann",https://psy-ling.univie.ac.at/en/,"MB3,MB3-NIRS,MB5"
babylabAmsterdam,University of Amsterdam,The Netherlands,Baby Lab,Ingmar Visser,"Janina Baumer,Mona Klau,Rebekka Cebulla,Luiza Yuan,Martina S. Zaharieva,Magda Matetovici",https://babylabamsterdam.nl/en/,"MB2,MB3,MB4"
babylabBrookes,Oxford Brookes University,England,Oxford Brookes Babylab,Nayeli Gonzalez-Gomez,,https://babylab.brookes.ac.uk/,"MB1,MB1B,MB1G,MB1L"
babylabChicago,University of Chicago,United States,Infant Learning and Development Laboratory,Amanda Woodward,Alexander Mackiel,https://voices.uchicago.edu/woodwardlab/,MB2
babylabINCC,"Université Paris Cité,CNRS","France,France",Integrative Neuroscience and Cognition Center,Olivier Mascaro ,,https://incc-paris.fr/language-and-cognition/,MB2
babylabKingswood,Western Sydney University,Australia,"Babylab Kingswood, MARCS Babylab",Liquan Liu,,https://www.westernsydney.edu.au/babylab/about,MB1
babylabKonstanz,University of Konstanz,Germany,BabySpechLab,Bettina Braun,,https://www.ling.uni-konstanz.de/en/bsl/,MB1
babylablangEssex,University of Essex,England,,Claire Delle Luche,,https://www.essex.ac.uk/departments/psychology/facilities/centre-for-brain-science/babylab,MB1
babylabLeiden,Leiden University,The Netherlands,Leiden University Centre for Linguistics (LUCL),Claartje Levelt,Andreea Geambașu,https://www.universiteitleiden.nl/en/research/research-facilities/humanities/babylab#tab-1,"MB1,MB3"
babylabLMU,Ludwig-Maximilians-Universität München,Germany,Kinderstudien,Markus Paulus,"Carolina Pletti,Nina-Alisa Kollakowski",https://www.socialdevlab.org/en/team/prof-dr-markus-paulus/,"MB1,MB1L,MB5"
BabyLabMackenzie,Mackenzie Presbyerian University,Brazil,Mackenzie Center for Research in Childhood and Adolescence,Ana Osório,,,"MB3,MB3-NIRS"
babylabMcMaster,McMaster University,Canada,McMaster Baby Lab,Gabriel (Naiqi) Xiao,,https://babylab.mcmaster.ca/,MB5
babylabMPIB,Max Planck Institute for Human Development,Germany,MPIB BabyLab,Annie E. Wertz,,https://www.mpib-berlin.mpg.de/institute/laboratories/babylab,"MB2,MB4"
babylabMrs,Aix-Marseille Université,France,Le Labo des Minots,Isabelle Dautriche,,https://labodesminots.univ-amu.fr/,MB5
babylabNijmegen,Radboud University,The Netherlands,Baby and Child Research Center,"Paula Fikkert,Sabine Hunnius","Laura Hahn,Marlene Meyer",https://babyandchild.nl/en/,"MB1,MB1L,MB2"
BabylabOsaka,Osaka University,Japan,Osaka Baby Lab,Yasuhiro Kanakogi,Xianwei Meng,https://www.osaka-u.ac.jp/en/news/global_outlook/research_highlights/rh_02_202207,MB4
babylabOxford,University of Oxford,England,BabyLab+ Oxford,Robert Hepach,"Andreea A. Nistor,Dominic Szarka",https://www.psy.ox.ac.uk/research/oxford-babylab,MB2
babylabParisDescartes1,Université Paris Cité,France,BabyLab LPP (?),Thierry Nazzi,Katie Von Holzen,,MB1
babylabPlymouth,University of Plymouth,England,Plymouth Babylab,"Caroline Floccia,Rana Abu-Zhaya",,https://www.psy.plymouth.ac.uk/babylab/,MB1
babylabPotsdam,University of Potsdam,Germany,BabyLAB Potsdam,Barbara Höhle,,https://www.uni-potsdam.de/en/babylab/index,"MB1,MB1L,MB1T,MB3"
babylabPrinceton,Princeton University,United States,Princeton Baby Lab,Casey Lew-Williams,,https://babylab.princeton.edu/,"MB1,MB1B,MB1G,MB1L"
babylabReading,University of Reading,England,,Graham Schafer,,,MB1
babylabShimane,Shimane University,Japan,,Ayumi Sato,,,MB1
babylabTrento,University of Trento,Italy,"Baby Lab, University of Trento",Laura Franchin,,,"MB2,MB3,MB-ManyWebcams"
